Bitcoin USD,S&P 500,Dow 30,Nasdaq,"Pinterest, Inc.",XRP USD,"Marathon Patent Group, Inc.",Costco Wholesale Corporation,Ethereum USD,"Cirrus Logic, Inc.","Nordstrom, Inc.",Sanofi,BTC/USD,Russell 2000,Bitcoin EUR,GlaxoSmithKline plc,The Clorox Company,Grayscale Bitcoin Trust (BTC),"Pershing Square Tontine Holdings, Ltd.",3M Company,"Lemonade, Inc.","Co-Diagnostics, Inc.",Vanguard Information Technology Index Fund ETF Shares,TaaS USD,Decision Diagnostics Corp.,ARK Innovation ETF,The Coca-Cola Company,Twilio Inc.,Snap Inc.
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
"11,636.34","3,271.12","26,428.32","10,745.27",34.29,0.2704,2.0300,325.53,355.62,68.53,13.69,52.45,"11,636.3359","1,480.43","9,879.05",40.32,236.51,12.81,21.04,150.47,58.18,24.00,295.27,0.8200,0.3000,80.37,47.24,277.42,22.42
